income,monthly_expenses,distance_to_college_work,travel_time_by_bus,transport_cost,bus_frequency,family_size,current_vehicle,loan_payment,savings,debt_focus,emergency_fund_status,investment_advice,car_recommendation
510.0,390.0,14.4,58.0,17.0,1.8,2,motorbike,140.0,0.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
3240.0,2260.0,31.9,163.0,38.0,0.1,4,motorbike,0.0,622.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
3450.0,2120.0,10.5,47.0,21.0,1.7,1,motorbike,0.0,1215.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
5770.0,3070.0,26.9,133.0,46.0,0.2,4,none,0.0,1736.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1890.0,1380.0,24.8,132.0,37.0,0.1,1,motorbike,0.0,485.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1990.0,890.0,36.9,119.0,66.0,1.2,3,car,0.0,921.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
3420.0,2140.0,20.9,60.0,49.0,5.9,4,none,0.0,707.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
570.0,370.0,29.6,120.0,34.0,1.1,2,none,0.0,130.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
3180.0,2210.0,26.2,88.0,31.0,2.0,1,bicycle,0.0,681.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
790.0,510.0,24.6,97.0,36.0,0.9,1,none,0.0,142.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
2750.0,1220.0,18.1,64.0,22.0,2.6,2,none,640.0,545.0,Debt is manageable,Emergency fund adequate,Do not invest aggressively,Car recommended
2890.0,1890.0,0.8,50.0,5.0,0.3,3,motorbike,1530.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1850.0,1190.0,21.7,62.0,37.0,3.6,3,motorbike,0.0,570.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1850.0,750.0,26.6,86.0,40.0,1.2,1,none,0.0,725.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1640.0,830.0,37.0,152.0,75.0,3.1,1,none,590.0,127.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
1270.0,740.0,28.0,125.0,43.0,1.0,1,none,410.0,90.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Car recommended
2600.0,1440.0,21.7,77.0,53.0,2.9,1,car,0.0,637.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
1280.0,510.0,6.6,47.0,20.0,1.1,2,none,0.0,723.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1070.0,830.0,40.1,179.0,46.0,0.2,2,motorbike,160.0,50.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
1430.0,970.0,11.7,93.0,28.0,0.2,2,none,290.0,151.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
530.0,320.0,26.9,140.0,42.0,0.5,1,none,130.0,33.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
860.0,660.0,10.7,53.0,9.0,1.6,2,motorbike,160.0,34.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
6780.0,4600.0,6.8,67.0,12.0,0.4,4,none,0.0,2138.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2040.0,1300.0,3.5,19.0,8.0,3.1,2,car,290.0,414.0,Debt is manageable,Build emergency fund,Invest moderately,Car not recommended
4500.0,2690.0,14.0,63.0,8.0,1.1,2,car,0.0,1355.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Consider later
1770.0,840.0,25.7,102.0,56.0,5.0,1,motorbike,200.0,719.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4160.0,3160.0,23.3,122.0,37.0,0.1,3,bicycle,0.0,558.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
5750.0,3720.0,29.8,156.0,66.0,0.4,2,motorbike,0.0,1038.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
6950.0,4580.0,26.4,112.0,38.0,1.0,3,none,2760.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
5430.0,4010.0,27.6,110.0,29.0,0.9,4,bicycle,0.0,1107.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
4780.0,2360.0,25.9,95.0,47.0,1.0,2,bicycle,0.0,2020.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1220.0,950.0,14.0,59.0,11.0,1.8,2,none,220.0,76.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car not recommended
2760.0,1990.0,41.2,180.0,84.0,0.1,2,motorbike,550.0,126.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
1260.0,650.0,31.6,93.0,41.0,4.3,1,none,0.0,305.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
630.0,400.0,34.6,146.0,50.0,0.3,1,motorbike,0.0,220.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2070.0,1190.0,11.9,65.0,24.0,0.9,1,bicycle,870.0,0.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
6060.0,3860.0,6.6,42.0,10.0,1.5,4,none,0.0,1717.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1330.0,950.0,40.7,135.0,83.0,0.7,1,none,480.0,22.0,Focus on reducing debt,Build emergency fund,Do not invest aggressively,Consider later
2340.0,1450.0,35.3,139.0,56.0,2.3,2,none,0.0,511.0,Debt is manageable,Emergency fund adequate,Invest moderately,Car recommended
1900.0,1220.0,32.6,133.0,30.0,1.2,2,none,0.0,530.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
2440.0,1360.0,11.0,56.0,14.0,1.2,2,motorbike,0.0,560.0,Debt is manageable,Emergency fund adequate,Invest aggressively,Car recommended
1920.0,1340.0,20.0,111.0,31.0,0.4,1,motorbike,250.0,207.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
1040.0,680.0,41.2,108.0,72.0,1.7,1,none,230.0,129.0,Debt is manageable,Build emergency fund,Do not invest aggressively,Car recommended
